task_id,classification,created_month,final_status,completion_month,event_count,admission_deferred_count
audit-charter,work,2026-08,succeeded,2026-08-08,10,0
t_5ecd8c86feb6,work,2026-08,succeeded,2026-08-08,4,0
t_3063f9e014ca,work,2026-08,succeeded,2026-08-08,4,0
t_929fc61788dc,work,2026-08,succeeded,2026-08-08,11,0
t_b58d59e32cc1,work,2026-08,succeeded,2026-08-08,4,0
t_d1ecd9158816,work,2026-08,succeeded,2026-08-08,4,0
t_98eaf661c0c5,work,2026-08,succeeded,2026-08-08,4,0
t_bc8f28e5b820,work,2026-08,succeeded,2026-08-08,4,0
t_80be0bfef6f9,work,2026-08,succeeded,2026-08-08,4,0
t_340972a85c11,work,2026-08,succeeded,2026-08-08,4,0
t_0f08068c28e1,work,2026-08,succeeded,2026-08-08,5,1
t_c59d6f117388,work,2026-08,succeeded,2026-08-08,4,0
t_200b91dcac2d,work,2026-08,succeeded,2026-08-08,4,0
t_dc9a7df3eaf4,work,2026-08,succeeded,2026-08-08,4,0
t_6359c28ed95a,work,2026-08,succeeded,2026-08-08,5,1
t_e7188a4c34c9,work,2026-08,succeeded,2026-08-08,4,0
t_4950b2f01510,work,2026-08,succeeded,2026-08-08,4,0
t_e94c07d61324,work,2026-08,succeeded,2026-08-08,4,0
t_b80629a467c6,work,2026-08,succeeded,2026-08-09,13,0
t_6b5dd6d2059f,work,2026-08,abandoned,,5,0
t_aa705f6a09bb,work,2026-08,abandoned,,5,0
t_ed4efc331192,work,2026-08,abandoned,,6,0
t_bf9cb030329c,work,2026-08,succeeded,2026-08-09,6,0
t_b47ddfd6afd2,work,2026-08,other/open,,2,0
t_344cd61f9c2a,work,2026-08,abandoned,,1,0
t_53df4d875169,work,2026-08,abandoned,,1,0
t_d6e82c17435d,work,2026-08,succeeded,2026-08-09,4,0
t_1bf80560b464,work,2026-08,succeeded,2026-08-09,4,0
t_aff5d173d0c2,work,2026-08,succeeded,2026-08-09,4,0
t_bc4515e967bf,work,2026-08,succeeded,2026-08-09,4,0
t_3936f8927f5c,work,2026-08,succeeded,2026-08-09,4,0
t_01a250acb02e,work,2026-08,succeeded,2026-08-09,4,0
t_8e98604ab3d2,work,2026-08,succeeded,2026-08-09,11,0
t_9506a862dda1,work,2026-08,succeeded,2026-08-09,4,0
t_6a83f0d8d95a,work,2026-08,succeeded,2026-08-10,4,0
t_fcbb7af1d347,work,2026-08,succeeded,2026-08-10,8,0
t_5d0e1f100292,work,2026-08,succeeded,2026-08-10,4,0
t_aca598b3eb7d,work,2026-08,succeeded,2026-09-09,17,0
t_e656a3a9ce81,work,2026-08,succeeded,2026-08-17,9,0
t_c688f7f07197,work,2026-08,succeeded,2026-08-17,9,0
t_1fd056e05031,work,2026-08,succeeded,2026-08-17,9,0
t_2848ac5d7368,work,2026-08,succeeded,2026-09-10,27,0
t_7bb367bea8a0,work,2026-08,succeeded,2026-08-17,10,0
t_e2c458237e91,work,2026-08,succeeded,2026-08-17,4,0
t_7f854c1482fb,work,2026-08,succeeded,2026-08-19,12,0
t_348b5d4ead06,work,2026-08,succeeded,2026-08-21,4,0
t_53f00278e38d,work,2026-08,succeeded,2026-08-30,10,0
t_1b371efb4bdd,work,2026-09,succeeded,2026-09-03,4,0
t_93078fa6f095,work,2026-09,succeeded,2026-09-04,10,0
t_e28983ccc3fb,work,2026-09,succeeded,2026-09-03,5,1
t_e90722aa29b2,work,2026-09,succeeded,2026-09-03,5,1
t_eb6019f3ea7a,work,2026-09,succeeded,2026-09-03,4,0
t_83228301efde,work,2026-09,succeeded,2026-09-03,4,0
