task_id,classification,status,created_month,completed_month
t_a98aa30dce61,governance,done,2026-05,2026-05
t_ed5fe58ed524,work,done,2026-05,2026-05
t_51359907e827,work,done,2026-05,2026-05
t_dfaedf359b83,work,done,2026-05,2026-05
t_25b978f42f48,governance,done,2026-05,2026-05
t_7aeec15e09a1,work,done,2026-05,2026-05
t_9b18793fab1a,governance,done,2026-05,2026-05
t_d1849504e513,work,done,2026-05,2026-05
t_f20780c2cf99,work,done,2026-05,2026-05
t_6363674c1093,governance,done,2026-05,2026-05
t_cfd5b6a60453,work,done,2026-05,2026-05
t_6a1fdc9fa2cd,work,done,2026-05,2026-05
t_040f83e49026,work,done,2026-05,2026-05
t_e81bc8187bac,governance,done,2026-05,2026-05
t_c0b1b921ffd0,work,abandoned,2026-05,
t_966d8197f549,work,abandoned,2026-05,
t_fd6e8eed68eb,work,abandoned,2026-05,
t_47c9375c6a7d,governance,done,2026-05,2026-05
t_d735a725ee9f,work,done,2026-05,2026-05
t_3e2e7f24298e,work,done,2026-05,2026-05
t_f35e2d4e1cc5,work,done,2026-05,2026-05
t_957ce3cf7d4a,work,done,2026-05,2026-05
t_374630153282,work,done,2026-05,2026-05
t_82e0b4cf5c5c,work,done,2026-05,2026-05
t_9d13be278c0a,governance,done,2026-05,2026-05
t_1d879f46f4c4,work,done,2026-05,2026-05
t_ceae3dfa8726,work,abandoned,2026-05,
t_c9542a616967,governance,abandoned,2026-05,
t_c801bfea9b75,work,abandoned,2026-05,
t_917f6059cc79,governance,done,2026-05,2026-05
t_4a0f339df5f2,governance,done,2026-05,2026-05
t_3a65514e44f2,work,done,2026-05,2026-05
t_cc91f3ee87d9,work,done,2026-05,2026-05
t_1d3669f1b231,governance,done,2026-05,2026-05
t_019c0b2a1e42,work,done,2026-05,2026-05
t_77c18fd98de4,governance,done,2026-05,2026-05
t_1e80456246ed,work,done,2026-05,2026-05
t_708594cac501,work,done,2026-05,2026-05
t_8ed537a22f02,work,done,2026-05,2026-05
t_91ea66ab8bb9,work,done,2026-05,2026-05
t_f8a8da00b1bb,work,done,2026-05,2026-05
t_20d10245d80b,work,done,2026-05,2026-05
t_4413008ab7a7,governance,done,2026-05,2026-05
t_ebe51b7d41b5,work,done,2026-05,2026-05
t_ecd3169e7397,work,done,2026-05,2026-05
t_9bd2ba013c99,work,abandoned,2026-05,
t_fd65f46afb3c,work,abandoned,2026-05,
t_e8a2678a772d,governance,done,2026-05,2026-05
t_9ad4a4bcdc12,work,done,2026-05,2026-05
t_d50b95d05476,work,done,2026-05,2026-05
t_471c72cef619,work,done,2026-05,2026-05
t_9f355a7b9835,work,done,2026-05,2026-05
t_ce5a968a0928,work,done,2026-05,2026-05
t_d1ac2f492760,work,done,2026-05,2026-05
t_f9d874c273a1,work,done,2026-05,2026-05
t_0a1e614dc62c,work,done,2026-05,2026-05
t_20693177e686,work,done,2026-05,2026-05
t_d4f00884c7ba,governance,done,2026-05,2026-05
t_06b18bf95cca,work,done,2026-05,2026-05
t_e1739889e18c,work,done,2026-05,2026-05
t_ba6053fd30d5,work,done,2026-05,2026-05
t_4108c251a73c,governance,done,2026-05,2026-05
t_ebdb8045c75b,work,done,2026-05,2026-05
t_2446a52b1c37,work,done,2026-05,2026-05
t_1fe02d2bed8b,work,done,2026-05,2026-05
t_2ddbdf50b530,work,done,2026-05,2026-05
t_1cfc4ae44de7,governance,done,2026-05,2026-05
t_7be8a09703cd,work,done,2026-05,2026-05
t_08f0324adcdf,work,done,2026-05,2026-05
t_399e6d20cc4d,work,done,2026-05,2026-05
t_3ab4224ba1df,work,done,2026-05,2026-05
t_d32946fe7312,work,done,2026-05,2026-05
t_022f14b135ba,work,done,2026-05,2026-05
t_92e529d6e463,governance,done,2026-05,2026-05
t_cb473451d8c4,work,done,2026-05,2026-05
t_37ff47e51d38,work,done,2026-05,2026-05
