era,task_id,classification,status,created_at,completed_at,latency_min,dispatch_or_retry
workgraph.1-era,t_904b56db39c0,work,done,2026-02-13T18:49:49.485849110+00:00,2026-02-13T19:21:37.996800687+00:00,31.8,
workgraph.1-era,t_05614c0cb89a,work,done,2026-02-13T18:48:48.819455027+00:00,2026-02-13T19:14:26.310307031+00:00,25.6,
workgraph.1-era,t_68bb2d427e43,work,done,2026-02-13T18:48:22.466864714+00:00,2026-02-13T19:11:01.403506339+00:00,22.6,
workgraph.1-era,t_fe6fa0d70abe,work,done,2026-02-13T18:47:59.284950141+00:00,2026-02-13T19:06:38.506852393+00:00,18.7,
workgraph.1-era,t_3e51c34382e2,work,done,2026-02-13T18:48:35.049519532+00:00,2026-02-13T19:18:17.789241783+00:00,29.7,
workgraph.1-era,t_dfefa0134909,work,done,2026-02-13T18:49:38.112786850+00:00,2026-02-13T19:09:12.459273488+00:00,19.6,
workgraph.1-era,t_93f404dfe2cb,work,done,2026-02-13T19:14:38.386814696+00:00,2026-02-13T19:23:05.751199461+00:00,8.5,
workgraph.1-era,t_21bfbbd7fc61,work,done,2026-02-13T18:50:00.859357010+00:00,2026-02-13T19:37:03.524448845+00:00,47.0,
workgraph.1-era,t_16c777fa1224,work,done,2026-02-13T18:47:21.266327495+00:00,2026-02-13T19:02:01.452692371+00:00,14.7,1
workgraph.1-era,t_ceb1f6823a30,work,done,2026-02-13T19:47:28.665810059+00:00,2026-02-13T19:48:26.305272531+00:00,1.0,
workgraph.1-era,t_d9fa3795d1ce,work,done,2026-02-13T18:47:35.900893151+00:00,2026-02-13T18:56:31.544509486+00:00,8.9,1
workgraph.1-era,t_1ccca0f76e70,work,done,2026-02-13T18:49:18.287146967+00:00,2026-02-13T19:10:06.191990072+00:00,20.8,1
workgraph.1-era,t_d66072e167dc,work,done,2026-02-13T18:47:48.342256141+00:00,2026-02-13T19:05:20.168176337+00:00,17.5,
workgraph.1-era,t_d0e8dc390bff,work,done,2026-02-13T18:49:09.873839381+00:00,2026-02-13T19:11:58.966497295+00:00,22.8,1
workgraph.1-era,t_3c4bc8490281,work,done,2026-02-13T18:49:25.239353749+00:00,2026-02-13T19:12:26.444585864+00:00,23.0,2
workgraph.1-era,t_2cf2a9915eae,work,done,2026-02-13T18:49:00.102548187+00:00,2026-02-13T19:07:17.884114289+00:00,18.3,
workgraph.1-era,t_615efea505a3,work,done,2026-02-13T18:48:08.940086824+00:00,2026-02-13T19:07:41.364334852+00:00,19.5,
wg.bak-era,t_90e245eab878,work,done,2026-04-07T20:23:25.466895147+00:00,2026-04-07T20:45:50.880768653+00:00,22.4,1
wg.bak-era,t_a70fad564416,work,done,2026-04-07T20:22:56.217041042+00:00,2026-04-07T20:38:02.547151755+00:00,15.1,
wg.bak-era,t_804181acf2b3,work,done,2026-04-07T20:23:18.047747370+00:00,2026-04-07T20:36:46.920019048+00:00,13.5,
wg.bak-era,t_ec19b86f14ab,work,done,2026-04-07T20:23:43.193409257+00:00,2026-04-07T20:50:19.035889319+00:00,26.6,
wg.bak-era,t_2835b083be4f,work,done,2026-04-07T20:42:57.224977684+00:00,2026-04-07T20:44:19.600649772+00:00,1.4,
wg.bak-era,t_67febaac1089,work,done,2026-04-07T20:22:19.153490615+00:00,2026-04-07T20:34:36.765751081+00:00,12.3,
wg.bak-era,t_bebda450c107,work,done,2026-04-07T20:22:46.971438014+00:00,2026-04-07T20:37:25.087327065+00:00,14.6,
wg.bak-era,t_477c5deed4dd,work,done,2026-04-07T19:20:27.014670688+00:00,2026-04-07T19:27:55.190441519+00:00,7.5,
wg.bak-era,t_52f70e0d13ff,work,done,2026-04-07T20:31:13.248088519+00:00,2026-04-07T20:35:04.406865668+00:00,3.9,
wg.bak-era,t_0714fa0ed031,work,done,2026-04-07T20:23:28.729092813+00:00,2026-04-07T20:36:32.811389139+00:00,13.1,
wg.bak-era,t_4e97ca58e18c,work,done,2026-04-07T20:22:23.307630238+00:00,2026-04-07T20:30:27.500543413+00:00,8.1,
wg.bak-era,t_a0cf66f8c2d3,work,done,2026-04-07T20:55:00.127241876+00:00,2026-04-07T20:57:17.322441337+00:00,2.3,
wg.bak-era,t_65e1d7728727,work,done,2026-04-07T20:23:10.122602332+00:00,2026-04-07T20:35:21.744308427+00:00,12.2,
wg.bak-era,t_d7828bc8af52,work,done,2026-04-07T20:22:41.195273436+00:00,2026-04-07T20:41:24.828787140+00:00,18.7,
wg.bak-era,t_febde3e2d26b,work,done,2026-04-07T20:23:06.969376315+00:00,2026-04-07T20:38:50.017023400+00:00,15.7,
wg.bak-era,t_153701bbd59a,governance,done,2026-04-07T20:24:02.958835182+00:00,2026-04-07T20:29:32.322051696+00:00,5.5,
wg-era,t_f3d7260a02f5,work,abandoned,2026-05-12T15:14:51.650361735+00:00,,,
wg-era,t_23c4fbfb4e46,work,done,2026-05-12T15:05:50.962428092+00:00,2026-05-12T15:23:29.800074686+00:00,17.6,2
wg-era,t_f5ee4a3da709,governance,done,2026-05-12T15:28:38.798937579+00:00,2026-05-12T15:33:12.306207006+00:00,4.6,1
wg-era,t_995021fd737d,work,done,2026-05-12T15:27:03.832062726+00:00,2026-05-12T15:39:36.409047186+00:00,12.5,1
wg-era,t_05a2c4735544,work,done,2026-05-12T15:26:28.136032310+00:00,2026-05-12T15:39:55.945963625+00:00,13.5,1
wg-era,t_5e3c86c0c107,work,done,2026-05-12T15:26:52.366698822+00:00,2026-05-12T15:41:12.563238172+00:00,14.3,1
wg-era,t_a334e877ed5a,work,done,2026-05-12T15:26:40.513153185+00:00,2026-05-12T15:42:31.971381894+00:00,15.9,1
wg-era,t_9e561bcb9f8b,work,done,2026-05-12T15:27:48.103031717+00:00,2026-05-12T15:45:49.176391097+00:00,18.0,1
wg-era,t_8646e5636282,work,done,2026-05-12T15:27:40.113192466+00:00,2026-05-12T15:48:45.643906638+00:00,21.1,1
wg-era,t_d82cb710e381,work,done,2026-05-12T15:27:58.780945353+00:00,2026-05-12T15:57:03.070934960+00:00,29.1,1
wg-era,t_7778decfeb84,work,done,2026-05-12T15:28:18.077318274+00:00,2026-05-12T16:05:54.348340036+00:00,37.6,1
wg-era,t_c44e7416be65,governance,abandoned,2026-05-14T21:34:40.390926161+00:00,,,
wg-era,t_af844510a972,governance,abandoned,2026-05-14T21:35:16.844993150+00:00,,,
wg-era,t_8c58c67b820b,governance,abandoned,2026-05-14T21:36:02.272221933+00:00,,,
wg-era,t_aa02b1fd0306,governance,abandoned,2026-05-14T22:08:07.958804625+00:00,,,
wg-era,t_8be4695355bd,work,done,2026-05-14T21:22:21.107200764+00:00,2026-05-14T22:22:18.809664146+00:00,60.0,2
wg-era,t_41f96b60799d,governance,done,2026-05-14T21:26:12.686132929+00:00,2026-05-14T22:33:02.804833931+00:00,66.8,1
wg-era,t_bf9bb1eed1d8,governance,done,2026-05-14T21:32:28.187374486+00:00,2026-05-14T22:35:53.688954595+00:00,63.4,1
wg-era,t_cc6503a3197e,governance,done,2026-05-14T21:31:59.936606786+00:00,2026-05-14T22:36:50.279440308+00:00,64.8,1
wg-era,t_de1cb3fe0a4b,governance,done,2026-05-14T21:32:52.676133305+00:00,2026-05-14T22:38:05.271426831+00:00,65.2,1
wg-era,t_dae67800f4ad,governance,done,2026-05-14T21:33:03.720212998+00:00,2026-05-14T22:38:27.576054405+00:00,65.4,1
wg-era,t_c00313df199a,work,done,2026-05-14T21:27:26.969150683+00:00,2026-05-14T22:39:08.288478133+00:00,71.7,1
