task_id,classification,status,created_at,completed_at,dispatch_count,failure_class
t_75ebb4d7c10e,work,done,2026-07-13,2026-07-13,1,
t_ba4f20f56479,work,done,2026-07-13,2026-07-13,1,
t_958193e59975,work,done,2026-07-13,2026-07-13,1,
t_a3d7926173e3,work,done,2026-07-13,2026-07-13,1,
t_28c6fe99077e,work,done,2026-07-13,2026-07-13,1,
t_e41a84f3c122,work,done,2026-07-13,2026-07-13,1,
t_022a923b56e2,work,done,2026-07-13,2026-07-13,1,
t_830e488b4bad,work,done,2026-07-13,2026-07-13,1,
t_25a61423e8a7,work,done,2026-07-13,2026-07-13,1,
t_ddd50c4822b6,work,done,2026-07-13,2026-07-13,1,
t_6de86914c7a6,work,done,2026-07-13,2026-07-13,1,
t_7d3e87661cf8,work,done,2026-07-13,2026-07-13,1,
t_cef4c8db5423,work,done,2026-07-13,2026-07-14,2,
t_72aff37e2e74,work,done,2026-07-13,2026-07-14,1,
t_a4415d16e64c,work,done,2026-07-16,2026-07-16,2,agent-exit-nonzero
t_31fef91ba7ed,governance,done,2026-07-16,2026-07-16,1,
t_eceff4931c08,work,done,2026-07-16,2026-07-16,3,
t_9ef2f55bda87,work,done,2026-07-16,2026-07-16,1,
t_d1bcf207d4a2,work,done,2026-07-16,2026-07-16,2,
t_6e8dd76f5d47,work,done,2026-07-16,2026-07-16,1,
t_9edc3dcd5c15,work,done,2026-07-16,2026-07-16,1,
t_374aea503f63,work,done,2026-07-16,2026-07-16,1,
t_d3f8eea41ccb,work,done,2026-07-16,2026-07-16,1,
t_c788618f1044,work,done,2026-07-16,2026-07-16,1,
t_e2f6e3581209,work,abandoned,2026-07-17,,1,agent-exit-nonzero
t_94b199917482,work,done,2026-07-17,2026-07-17,3,agent-exit-nonzero
t_66f1a8e65ec1,work,done,2026-07-17,2026-07-17,1,
t_c004e0429f2f,work,done,2026-07-17,2026-07-17,1,
t_9e630fceb070,work,done,2026-07-17,2026-07-17,1,
t_b18d530cfda0,work,done,2026-07-17,2026-07-17,1,
t_547cbd3b4d78,work,done,2026-07-17,2026-07-17,1,
t_609e0c9bf0d2,work,done,2026-07-17,2026-07-17,1,
t_a7e57c9675b1,work,done,2026-07-17,2026-07-17,1,
t_983d0e22b705,work,done,2026-07-17,2026-07-17,1,
t_7404c3446138,work,done,2026-07-17,2026-07-17,1,
t_25cf784ecc8a,work,done,2026-07-17,2026-07-17,1,
t_077486d4e94b,work,done,2026-07-17,2026-07-17,1,
t_f54dc85051a4,work,done,2026-07-17,2026-07-17,1,
t_cc931c3fc28e,work,done,2026-07-17,2026-07-17,1,
t_b1dae3328f91,work,done,2026-07-18,2026-07-18,1,
t_abc515dffae2,work,done,2026-07-18,2026-07-18,1,
t_ba385fcb83fa,work,done,2026-07-18,2026-07-18,1,
t_4bae46da3df8,work,done,2026-07-18,2026-07-18,1,
t_ab4b3cbe1204,work,done,2026-07-18,2026-07-18,1,
t_62caed74a0ff,work,done,2026-07-18,2026-07-18,1,
t_d142479622d5,work,done,2026-07-18,2026-07-18,1,
t_bddfa0c6f0a0,work,done,2026-07-18,2026-07-18,1,
t_9535d88b7dc4,work,done,2026-07-18,2026-07-18,1,
t_ff351a7018a2,work,done,2026-07-18,2026-07-18,1,
t_b7d79c68ef5a,work,done,2026-07-18,2026-07-18,1,
t_a7265b9097a6,work,done,2026-07-18,2026-07-18,1,
t_d0290913d76d,work,done,2026-07-18,2026-07-18,1,
t_83ae93aafaa4,work,done,2026-07-18,2026-07-18,1,
t_15aed53dc83e,work,done,2026-07-18,2026-07-18,1,
t_899b70fa206c,work,done,2026-07-18,2026-07-18,1,
t_a996f5d72f33,work,done,2026-07-18,2026-07-18,1,
t_1d0975171504,work,done,2026-07-18,2026-07-18,1,
t_de512abba6bb,work,done,2026-07-18,2026-07-18,1,
t_3121f68d2786,work,done,2026-07-18,2026-07-18,1,
t_6277acfa446c,work,done,2026-07-18,2026-07-18,1,
t_78672d6c4485,work,done,2026-07-18,2026-07-18,1,
t_ff2612929cb3,work,done,2026-07-18,2026-07-18,1,
t_10e6827fcd6c,work,done,2026-07-18,2026-07-18,1,
t_f0abd119032f,work,done,2026-07-18,2026-07-18,1,
t_a508dc0adc73,work,done,2026-07-18,2026-07-18,1,
t_21b74d349401,work,done,2026-07-18,2026-07-19,1,
t_39dc571570cc,work,done,2026-07-18,2026-07-19,6,
t_d43f9bd743e6,work,done,2026-07-19,2026-07-19,3,agent-exit-nonzero
t_ad4cd946a00f,work,done,2026-07-18,2026-07-20,2,
t_aaa2443812c9,work,done,2026-07-18,2026-07-20,1,
t_c1f56e4ad50e,work,done,2026-07-20,2026-07-20,1,
t_7da1db498417,work,done,2026-07-18,2026-07-20,1,
t_e9e1f49ca29d,work,done,2026-07-18,2026-07-21,1,
t_ab4ddec0e83b,work,done,2026-07-18,2026-07-21,1,
t_7f9a49b0e280,work,done,2026-07-22,2026-07-22,1,
t_4f72504c7fe8,work,done,2026-07-22,2026-07-22,1,
t_e56cac86d836,work,done,2026-07-22,2026-07-22,1,
t_14d5ce258c4a,work,done,2026-07-22,2026-07-25,2,
