task_id,classification,status,created_at,completed_at
t_9eed2eafc719,work,done,2026-04-01,2026-04-01
t_de76da3df120,work,done,2026-04-01,2026-04-01
t_0dc8a324b9d4,work,done,2026-04-01,2026-04-01
t_15a1793951b5,work,done,2026-04-02,2026-04-02
t_d2bdbb3c5cf9,work,done,2026-04-01,2026-04-01
t_7756ba2e77d9,work,done,2026-04-02,2026-04-02
t_a6bf0f00ffad,work,done,2026-03-31,2026-03-31
t_b84cf09bdfd1,work,done,2026-04-01,2026-04-01
t_bc358cd9fa09,work,done,2026-04-01,2026-04-01
t_d96ce4d78042,work,done,2026-04-02,2026-04-02
t_cea044ab2f4c,work,done,2026-04-01,2026-04-01
t_863572a3e5c3,work,done,2026-04-01,2026-04-02
t_d51fa6ddf1b7,work,done,2026-03-31,2026-03-31
t_3ffb02a6b147,work,done,2026-03-31,2026-03-31
t_a822b3cb2b8d,work,done,2026-03-31,2026-03-31
t_7b3d650aac84,work,done,2026-04-01,2026-04-01
t_c644bf488013,work,done,2026-03-31,2026-03-31
t_cc3b433f7c8e,work,done,2026-04-01,2026-04-01
t_fec7c0f6e886,work,done,2026-04-01,2026-04-01
t_9a1fe11715f4,work,done,2026-04-01,2026-04-01
t_c03fed865c32,work,done,2026-04-02,2026-04-02
t_eda28a3d3bc6,work,done,2026-04-02,2026-04-02
t_e358a985f874,work,done,2026-04-01,2026-04-01
t_0dfdb9b4c30a,work,done,2026-04-01,2026-04-01
t_cc5d94d071a9,work,done,2026-04-01,2026-04-01
t_3c65ecc7020b,work,done,2026-04-01,2026-04-01
t_d3a72ef828f1,work,done,2026-04-02,2026-04-02
t_6a30948eff66,work,done,2026-04-01,2026-04-01
t_b0bed207eb59,work,done,2026-04-02,2026-04-02
t_b9854a85dd2a,work,done,2026-04-02,2026-04-02
t_32e7f1ff5947,work,done,2026-04-01,2026-04-01
t_1ff90a89cc2c,work,done,2026-04-02,2026-04-02
t_bd9a8cf533ec,work,done,2026-04-01,2026-04-01
t_547d5c81c83e,work,done,2026-04-01,2026-04-02
t_420603e47b41,work,done,2026-03-31,2026-03-31
t_79eb81268488,work,done,2026-04-01,2026-04-01
t_25fc6e3b129a,work,done,2026-04-01,2026-04-01
t_16701aec1e43,work,done,2026-04-01,2026-04-02
t_b271f808675c,work,done,2026-04-02,2026-04-02
t_03b4a7eda983,work,done,2026-04-01,2026-04-01
t_c253d71f1ec1,work,done,2026-04-01,2026-04-01
t_b266c9bd7e2a,work,done,2026-04-02,2026-04-02
t_2178f75da745,work,done,2026-04-01,2026-04-01
t_004695a33dcd,work,done,2026-04-01,2026-04-01
t_1977fa81746d,work,done,2026-04-01,2026-04-01
t_8ae5c80d0f56,work,done,2026-04-01,2026-04-01
t_636b1b9b7fbb,work,done,2026-04-02,2026-04-02
t_853eddd1df64,work,done,2026-04-01,2026-04-01
t_4b7f594052e9,work,done,2026-04-02,2026-04-02
t_9335e565a443,work,done,2026-04-02,2026-04-02
t_0d23fd18b098,work,done,2026-04-01,2026-04-01
t_ce56de95899a,work,done,2026-04-01,2026-04-01
t_efcf92d0c52d,work,done,2026-04-01,2026-04-01
t_6d74868924ab,work,done,2026-03-31,2026-03-31
t_17e36d25dfab,work,done,2026-04-01,2026-04-01
t_afd2a256dbd2,work,done,2026-04-01,2026-04-01
t_b17b89bfc2f1,work,done,2026-04-01,2026-04-01
t_a652e3ddff77,work,done,2026-03-31,2026-03-31
t_c69c647fbfe4,work,done,2026-04-02,2026-04-02
t_e13531b55a6a,work,done,2026-04-02,2026-04-02
t_542ee2be0751,work,done,2026-04-01,2026-04-01
t_1a18f7d5e60a,work,done,2026-04-01,2026-04-01
t_720d8c844697,work,done,2026-04-01,2026-04-01
t_4de9610b291c,work,done,2026-04-02,2026-04-02
t_d233c6beaae8,work,done,2026-04-01,2026-04-01
t_c5da4da9d30d,work,done,2026-04-01,2026-04-01
t_035533d001fe,work,done,2026-04-02,2026-04-02
t_d2bf38dc557f,work,done,2026-04-01,2026-04-01
t_8a19a62e7088,work,done,2026-04-01,2026-04-01
t_dfa19cbaae9d,work,done,2026-03-31,2026-03-31
