task_id,classification,status,created_at,completed_at,n_events,gate_eval_mentions
t_bc8f28e5b820,work,done,2026-08-08T09:43:31.705921662+00:00,2026-08-08T11:02:02.160252355+00:00,4,0
t_340972a85c11,work,done,2026-08-08T09:43:31.810473686+00:00,2026-08-08T11:20:46.182881195+00:00,4,0
t_0f08068c28e1,work,done,2026-08-08T09:43:31.764989588+00:00,2026-08-08T11:36:48.422888140+00:00,5,0
t_bf9cb030329c,work,open,2026-08-08T09:43:32.139949159+00:00,,4,0
t_200b91dcac2d,work,done,2026-08-08T09:43:31.906065110+00:00,2026-08-08T12:23:16.865909810+00:00,4,0
audit-charter,work,done,2026-08-08T09:43:31.231280623+00:00,2026-08-08T10:12:18.820648954+00:00,10,0
t_e94c07d61324,work,done,2026-08-08T09:43:32.018480973+00:00,2026-08-08T15:53:28.927813757+00:00,4,0
t_d6e82c17435d,work,open,2026-08-08T09:43:32.181640221+00:00,,0,0
t_b80629a467c6,work,open,2026-08-08T09:43:32.077507269+00:00,,11,0
t_344cd61f9c2a,work,open,2026-08-08T17:41:24.644579130+00:00,,0,0
t_c59d6f117388,work,done,2026-08-08T09:43:31.964536510+00:00,2026-08-08T11:58:02.004324542+00:00,4,0
t_80be0bfef6f9,work,done,2026-08-08T09:43:31.651414773+00:00,2026-08-08T10:50:20.516453986+00:00,4,0
t_6b5dd6d2059f,work,abandoned,2026-08-08T17:13:31.071986441+00:00,,5,0
t_98eaf661c0c5,work,done,2026-08-08T09:43:31.586478243+00:00,2026-08-08T11:01:00.234157989+00:00,4,0
t_e7188a4c34c9,work,done,2026-08-08T14:26:49.187095272+00:00,2026-08-08T14:51:13.918536987+00:00,4,3
t_aa705f6a09bb,work,open,2026-08-08T17:35:55.142529439+00:00,,4,0
t_5ecd8c86feb6,work,done,2026-08-08T09:43:31.293768194+00:00,2026-08-08T11:12:14.863743111+00:00,4,0
t_53df4d875169,work,open,2026-08-08T14:42:32.179908983+00:00,,0,0
t_4950b2f01510,work,done,2026-08-08T09:43:31.862484505+00:00,2026-08-08T15:08:48.607546811+00:00,4,0
t_3063f9e014ca,work,done,2026-08-08T09:43:31.369611068+00:00,2026-08-08T13:06:42.954271598+00:00,4,0
t_6359c28ed95a,work,done,2026-08-08T14:19:35.777001049+00:00,2026-08-08T18:20:38.441124328+00:00,5,0
t_5d400577c822,work,in-progress,2026-08-08T09:38:56.622633872+00:00,,0,0
t_d1ecd9158816,work,done,2026-08-08T09:43:31.544453901+00:00,2026-08-08T11:30:21.203321550+00:00,4,0
t_ed4efc331192,work,open,2026-08-08T14:34:50.497479086+00:00,,5,0
t_dc9a7df3eaf4,work,done,2026-08-08T13:31:15.890909338+00:00,2026-08-08T16:08:41.961843349+00:00,4,0
t_b58d59e32cc1,work,done,2026-08-08T09:43:31.490578650+00:00,2026-08-08T11:52:04.976911932+00:00,4,0
t_1bf80560b464,work,open,2026-08-08T09:43:32.265449257+00:00,,0,0
t_929fc61788dc,work,done,2026-08-08T09:43:31.436326038+00:00,2026-08-08T14:37:15.447315540+00:00,11,0
