task_id,classification,status,family,created_at,completed_at,latency_days,dispatch_count
t_7fae066d512c,work,done,organic,2026-07-04,2026-07-04,0.01,1
t_f320a22b477d,work,done,organic,2026-07-04,2026-07-04,0.0,1
t_d4fca5670ebb,work,done,organic,2026-07-04,2026-07-04,0.02,1
t_fa849a66bfed,work,done,organic,2026-07-04,2026-07-04,0.02,1
t_89819920ac0d,work,done,organic,2026-07-04,2026-07-04,0.03,1
t_a2eba99b28ef,work,done,organic,2026-07-04,2026-07-04,0.03,1
t_de7f83f3707a,work,done,organic,2026-07-04,2026-07-04,0.02,1
t_3218b948150a,work,done,organic,2026-07-05,2026-07-05,0.03,1
t_1102e5d10525,work,done,organic,2026-07-05,2026-07-05,0.02,1
t_b6d9f7bfa72f,work,done,organic,2026-07-05,2026-07-05,0.05,1
t_972f5ebcb6f6,work,done,organic,2026-07-05,2026-07-05,0.03,1
t_baaf50d304fb,work,done,organic,2026-07-05,2026-07-05,0.01,1
t_d6f09aff4e2c,work,done,organic,2026-07-05,2026-07-05,0.0,1
t_b04c05a6c5ae,work,done,organic,2026-07-05,2026-07-05,0.04,1
t_c408451d49ab,work,done,organic,2026-07-05,2026-07-05,0.11,1
t_4d930634b6ab,work,done,organic,2026-07-05,2026-07-05,0.11,1
t_f26df45de4f5,work,done,organic,2026-07-05,2026-07-05,0.01,1
t_d2428b954997,work,done,organic,2026-07-05,2026-07-05,0.13,1
t_0af193ecc3a7,work,done,organic,2026-07-05,2026-07-05,0.15,1
t_ed6dd0a23ad2,governance,done,organic,2026-07-05,2026-07-05,0.0,
t_c213a73a90e2,governance,done,organic,2026-07-05,2026-07-05,0.0,
t_019235c3a2d6,governance,done,organic,2026-07-05,2026-07-05,0.0,
t_0e6cb705c5c8,governance,done,organic,2026-07-05,2026-07-05,0.0,
t_f2b201747aac,governance,done,organic,2026-07-05,2026-07-05,0.0,
t_32474e33e296,work,done,organic,2026-07-06,2026-07-06,0.01,1
t_b3e2001bd684,work,done,organic,2026-07-06,2026-07-06,0.02,1
t_2673cad2e531,work,done,organic,2026-07-06,2026-07-06,0.05,1
t_942210750fb2,work,done,organic,2026-07-06,2026-07-06,0.05,1
t_f618b0a221c7,work,done,organic,2026-07-06,2026-07-06,0.03,1
t_b607bd489e83,work,done,organic,2026-07-07,2026-07-07,0.04,1
t_bd9f4a4fd7e2,work,done,organic,2026-07-07,2026-07-07,0.03,1
t_e12ec7d06b2f,work,done,organic,2026-07-07,2026-07-07,0.0,1
t_ea0f609b1c41,work,done,organic,2026-07-07,2026-07-07,0.03,1
t_ed7c12c5635e,work,done,organic,2026-07-07,2026-07-07,0.06,1
t_d2db5ca22156,work,done,organic,2026-07-07,2026-07-07,0.02,2
